country,taxes,tax-free_period,internet_speed,minimum_income
Argentina,0%,Full visa length,111.23,"2,500"
Colombia,19%,Six months,125.86,684
Estonia,20%,No tax free period,103.48,"3,500"
Georgia,20%,Six months,30.28,"2,000"
Mexico,30%,No tax free period,77.07,"2,595"
Philippines,0%,Full visa length,88,2000.0
Portugal,20%,Six months,205.11,"3,548"
Serbia,10%,Six months,69,3500.0
Spain,15%,Six months,248.25,"2,140"
Thailand,5-35%,Six months,100,
Uruguay,0%,Full visa length,177.74,Not required
Vietnam,,,70,
