Country,City,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Argentina,Buenos Aires,24.9,23.6,21.9,17.9,14.5,11.7,11.0,12.8,14.6,17.9,20.7,23.3,17.9
Colombia,Bogotá,14.3,14.5,14.9,14.9,15.0,14.5,14.6,14.1,14.3,14.3,14.4,14.6,14.4
Estonia,Tallinn,-2.9,-3.6,-0.6,4.8,10.2,14.5,17.6,16.5,12.0,6.5,2.0,-0.9,6.4
Georgia,Tbilisi,1.2,2.7,6.6,12.2,17.4,21.3,24.5,24.1,19.6,13.7,7.8,3.2,12.9
Mexico,Mexico City,14.6,15.9,18.1,19.6,20.0,19.4,18.2,18.3,18.0,17.1,16.3,15.0,17.5
Philippines,Manila,26.7,27.4,28.7,30.1,30.0,29.3,28.5,28.3,28.4,28.4,28.0,27.0,28.4
Portugal,Lisbon,11.6,12.7,14.9,15.9,18.0,21.2,23.1,23.5,22.1,18.8,15.0,12.4,17.5
Serbia,Belgrade,1.4,3.1,7.6,12.9,18.1,21.0,23.0,22.7,18.0,12.9,7.1,2.7,12.5
Spain,Madrid,6.3,7.9,11.2,12.9,16.7,22.2,25.6,25.1,20.9,15.1,9.9,6.9,15.0
Thailand,Bangkok,27.0,28.3,29.5,30.5,29.9,29.5,29.0,28.8,28.3,28.1,27.8,26.5,28.6
Uruguay,Montevideo,23.0,22.5,20.6,17.2,14.0,11.1,10.9,11.7,13.4,16.0,18.6,21.3,16.7
Vietnam,Hanoi,16.4,17.2,20.0,23.9,27.4,28.9,29.2,28.6,27.5,24.9,21.5,18.2,23.6
