country,rent_index,groceries_index,local_purchasing_power_index,affordability_score,monthly_income
Argentina,7.6,29.7,41.5,37.3,550 USD
Colombia,8.6,30.3,33.7,38.9,543 USD
Estonia,15.0,46.4,80.4,61.4,"1,900 USD"
Georgia,13.7,33.3,35.3,47.0,468 USD
Mexico,15.5,43.4,45.4,58.9,868 USD
Philippines,7.1,35.0,33.3,42.1,329 USD
Portugal,24.0,43.8,56.9,67.8,"2,150 USD"
Serbia,12.4,36.0,50.2,48.4,762 USD
Spain,22.9,46.0,92.1,68.9,"2,640 USD"
Thailand,11.2,40.5,40.8,51.7,603 USD
Uruguay,13.8,52.1,56.3,65.9,"1,000 USD"
Vietnam,9.0,33.9,40.5,42.9,334 USD
